;object_name;chain;object_type;address;number;street;coord;district
8480;бар «mad men bar»;нет;бар;город москва, пресненская набережная, дом 2;50;пресненская набережная;37.539644 55.749299;Пресненский район
8534;кафе;нет;кафе;город москва, поселение воскресенское, варшавское шоссе, 28-й километр, владение 3, строение 1;16;варшавское шоссе;37.592842 55.49262;
8621;чайхона;нет;кафе;город москва, город щербинка, варшавское шоссе, 28-й километр, владение 8, строение 1;65;варшавское шоссе;37.574902 55.510803;
8628;моцарт;нет;кафе;город москва, город щербинка, варшавское шоссе, 27-й километр, владение 6, строение 1;12;варшавское шоссе;37.563377 55.509034;
8684;кафе «la melange» (fарш);нет;кафе;город москва, проспект вернадского, дом 86а;38;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8685;кафе «шоколадница»;да;кафе;город москва, проспект вернадского, дом 86а;60;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8686;кафе «хлебный двор»;нет;кафе;город москва, проспект вернадского, дом 86а;10;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8687;макдоналдс;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 86а;60;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8688;пбо «вокмания»;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 86а;60;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8689;пбо «гриль хаус»;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 86а;60;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8690;пбо «kfc»;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 86а;60;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8691;пбо «теремок»;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 86а;60;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8692;starbucks, старбакс кофе;да;кафе;город москва, проспект вернадского, дом 86а;40;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8693;kvartal;нет;ресторан;город москва, проспект вернадского, дом 86а;100;проспект вернадского;37.480993 55.663019;район Тропарёво-Никулино
8695;кулинари;нет;магазин (отдел кулинарии);город москва, кутузовский проспект, дом 57;0;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8696;тутти фрутти;нет;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;0;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8697;чайхона №1;да;ресторан;город москва, кутузовский проспект, дом 57;60;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8698;porto maltese;нет;ресторан;город москва, кутузовский проспект, дом 57;70;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8699;pho;нет;кафе;город москва, кутузовский проспект, дом 57;0;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8700;pizzeria 360;нет;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;30;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8701;sham;нет;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;20;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8702;coffeeshop company;да;кафе;город москва, кутузовский проспект, дом 57;20;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8703;крошка картошка;да;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;30;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8704;макдоналдс;да;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;30;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8705;black coffe and food;нет;кафе;город москва, кутузовский проспект, дом 57;10;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8706;bocconcino;да;ресторан;город москва, кутузовский проспект, дом 57;96;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8707;бургерная;нет;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;30;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8708;теремок;да;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;30;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8709;баклажан;нет;кафе;город москва, кутузовский проспект, дом 57;60;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8710;моремания экспресс;нет;кафе;город москва, кутузовский проспект, дом 57;20;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
