;object_name;chain;object_type;address;number;street;coord;district
151;кафе «андерсон»;да;кафе;город москва, варшавское шоссе, дом 2;150;варшавское шоссе;37.619683 55.699943;Донской район
152;кафе «subway»;да;кафе;город москва, варшавское шоссе, дом 7, корпус 1;36;варшавское шоссе;37.622405 55.700877;Донской район
153;кафе «ламаджо»;нет;кафе;город москва, варшавское шоссе, дом 29;30;варшавское шоссе;37.622432 55.693226;Донской район
154;шаурма в пите;нет;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 72, корпус 2;0;варшавское шоссе;37.618758 55.656869;Нагорный район
155;выпечка;нет;кафетерий;город москва, варшавское шоссе, дом 100;2;варшавское шоссе;37.618812 55.646228;Нагорный район
156;ресторан «макдоналдс»;да;кафе;город москва, варшавское шоссе, дом 143а;70;варшавское шоссе;37.599148 55.583953;район Чертаново Южное
165;пироговая рогова;нет;кафе;город москва, проспект вернадского, дом 9/10;42;проспект вернадского;37.532511 55.690755;Гагаринский район
166;кафе контдитерская кузина;нет;кафе;город москва, проспект вернадского, дом 11/19;5;проспект вернадского;37.528882 55.688741;Ломоносовский район
167;суши wok;да;кафе;город москва, проспект вернадского, дом 11/19;8;проспект вернадского;37.528882 55.688741;Ломоносовский район
168;аморе;нет;кафе;город москва, проспект вернадского, дом 11/19;10;проспект вернадского;37.528882 55.688741;Ломоносовский район
169;шоколад;да;кафе;город москва, проспект вернадского, дом 11/19;50;проспект вернадского;37.528882 55.688741;Ломоносовский район
170;тирольские пироги;да;магазин (отдел кулинарии);город москва, проспект вернадского, дом 13;10;проспект вернадского;37.527669 55.687655;Ломоносовский район
172;столовая «оп мгу кп мгу столовая 12»;нет;столовая;город москва, проспект вернадского, дом 37;240;проспект вернадского;37.511751 55.678397;район Проспект Вернадского
173;буфет;нет;буфет;город москва, проспект вернадского, дом 86, строение 1;40;проспект вернадского;37.474534 55.66049;район Тропарёво-Никулино
174;панорама 93;нет;ресторан;город москва, проспект вернадского, дом 93;60;проспект вернадского;37.495132 55.667127;район Тропарёво-Никулино
175;кафе «пекарня «мюнгер»»;нет;кафе;город москва, проспект вернадского, дом 97, корпус 1;30;проспект вернадского;37.491377 55.667152;район Тропарёво-Никулино
176;гудбар;нет;кафе;город москва, проспект вернадского, дом 97, корпус 1;40;проспект вернадского;37.491377 55.667152;район Тропарёво-Никулино
177;бар «фитнес-бар»;нет;бар;город москва, проспект вернадского, дом 103, корпус 1;24;проспект вернадского;37.492662 55.663365;район Тропарёво-Никулино
178;кафе «театр на юго-западе»;нет;кафе;город москва, проспект вернадского, дом 125;20;проспект вернадского;37.482026 55.655478;район Тропарёво-Никулино
295;шёлковый путь;нет;ресторан;город москва, кутузовский проспект, дом 71;90;кутузовский проспект;37.452103 55.723719;район Фили-Давыдково
405;чайхона 7-24;нет;кафе;город москва, каширское шоссе, дом 5, корпус 1;40;каширское шоссе;37.629071 55.671168;район Нагатино-Садовники
406;фгуп гнпп регион;нет;столовая;город москва, каширское шоссе, дом 13, корпус 1;200;каширское шоссе;37.629879 55.666569;район Нагатино-Садовники
407;ресторан «тануки»;да;ресторан;город москва, каширское шоссе, дом 46, корпус 1;50;каширское шоссе;37.664788 55.647894;район Москворечье-Сабурово
408;столовая «гостиница мзп»;нет;столовая;город москва, каширское шоссе, дом 56, корпус 2;24;каширское шоссе;37.669998 55.644775;район Москворечье-Сабурово
409;столовая «центра социальной защиты»;нет;столовая;город москва, каширское шоссе, дом 60, корпус 2;40;каширское шоссе;37.671579 55.64415;район Москворечье-Сабурово
429;гостиница эмос;нет;столовая;город москва, кировоградская улица, дом 11;20;кировоградская улица;37.607915 55.615904;район Чертаново Центральное
430;московский технический лицей;нет;столовая;город москва, кировоградская улица, дом 11;240;кировоградская улица;37.607915 55.615904;район Чертаново Центральное
431;столовая рггу;нет;столовая;город москва, кировоградская улица, дом 25, корпус 1;250;кировоградская улица;37.597953 55.597607;район Чертаново Южное
525;кристиан;нет;ресторан;город москва, кутузовский проспект, дом 2/1, корпус 1а;96;кутузовский проспект;37.564904 55.750712;район Дорогомилово
526;диорама бар;нет;бар;город москва, кутузовский проспект, дом 2/1, корпус 1а;3;кутузовский проспект;37.564904 55.750712;район Дорогомилово
527;клубный ресторан;нет;ресторан;город москва, кутузовский проспект, дом 2/1, корпус 1а;12;кутузовский проспект;37.564904 55.750712;район Дорогомилово
528;pinocchio;нет;ресторан;город москва, кутузовский проспект, дом 4/2;100;кутузовский проспект;37.562272 55.750727;район Дорогомилово
529;кафе-бутик posh up, babe;нет;кафе;город москва, кутузовский проспект, дом 8;12;кутузовский проспект;37.560538 55.749172;район Дорогомилово
530;кофемания;да;кафе;город москва, кутузовский проспект, дом 17;60;кутузовский проспект;37.556864 55.746922;район Дорогомилово
531;пион;нет;кафе;город москва, кутузовский проспект, дом 21;40;кутузовский проспект;37.549866 55.744977;район Дорогомилово
532;кофе хаус. экспрессо и капучино бар;да;кафе;город москва, кутузовский проспект, дом 30;50;кутузовский проспект;37.535826 55.741475;район Дорогомилово
533;чистякова м.м.;нет;буфет;город москва, кутузовский проспект, дом 30;15;кутузовский проспект;37.535826 55.741475;район Дорогомилово
534;кактус;да;ресторан;город москва, кутузовский проспект, дом 41;32;кутузовский проспект;37.531029 55.738688;район Дорогомилово
541;фортутти;нет;кафе;город москва, ленинградский проспект, дом 2;23;ленинградский проспект;37.582709 55.778644;район Беговой
542;папа джонс;да;кафе;город москва, ленинградский проспект, дом 10;56;ленинградский проспект;37.579933 55.779707;район Беговой
543;столовая мосгоргеотрест;нет;столовая;город москва, ленинградский проспект, дом 11;80;ленинградский проспект;37.573923 55.780416;район Беговой
544;шоколадница;да;кафе;город москва, ленинградский проспект, дом 12;65;ленинградский проспект;37.578855 55.780157;район Беговой
545;ваби-саби;да;кафе;город москва, ленинградский проспект, дом 12;48;ленинградский проспект;37.578855 55.780157;район Беговой
546;хлеб&co;да;кафе;город москва, ленинградский проспект, дом 24;16;ленинградский проспект;37.573699 55.782547;район Беговой
547;москафе;нет;ресторан;город москва, ленинградский проспект, дом 24;70;ленинградский проспект;37.573699 55.782547;район Беговой
548;кафе хинкальная;нет;кафе;город москва, ленинградский проспект, дом 33, корпус 3;28;ленинградский проспект;37.56079 55.787001;район Беговой
549;al33 пиццерия бар ботега;нет;кафе;город москва, ленинградский проспект, дом 33, корпус 4;45;ленинградский проспект;37.559829 55.78732;район Беговой
550;буфет-бар бутербург;нет;буфет;город москва, ленинградский проспект, дом 35;20;ленинградский проспект;37.553271 55.790352;район Беговой
551;sea-тория;нет;ресторан;город москва, ленинградский проспект, дом 48;150;ленинградский проспект;37.543479 55.796152;район Аэропорт
552;тратория italian «паста&пицца»;нет;ресторан;город москва, ленинградский проспект, дом 48;40;ленинградский проспект;37.543479 55.796152;район Аэропорт
553;золотая бухара;нет;ресторан;город москва, ленинградский проспект, дом 48;150;ленинградский проспект;37.543479 55.796152;район Аэропорт
554;кофе-бин;да;кафе;город москва, ленинградский проспект, дом 56;41;ленинградский проспект;37.537955 55.79851;район Аэропорт
555;crema espresso bar;нет;кафе;город москва, ленинградский проспект, дом 60, корпус 1;2;ленинградский проспект;37.535341 55.799684;район Аэропорт
556;штолле;да;кафе;город москва, ленинградский проспект, дом 62;37;ленинградский проспект;37.533382 55.801035;район Аэропорт
557;кофе хаус;да;кафе;город москва, ленинградский проспект, дом 62;48;ленинградский проспект;37.533382 55.801035;район Аэропорт
558;французская выпечка;да;кафе;город москва, ленинградский проспект, дом 62;26;ленинградский проспект;37.533382 55.801035;район Аэропорт
559;черчилль паб;нет;ресторан;город москва, ленинградский проспект, дом 66;45;ленинградский проспект;37.52598 55.802725;район Аэропорт
560;cure bar;нет;бар;город москва, ленинградский проспект, дом 66;70;ленинградский проспект;37.52598 55.802725;район Аэропорт
561;французская выпечка;да;кафе;город москва, ленинградский проспект, дом 74, корпус 1;4;ленинградский проспект;37.516952 55.805133;район Аэропорт
562;кофе хаус;да;кафе;город москва, ленинградский проспект, дом 74, корпус 1;98;ленинградский проспект;37.516952 55.805133;район Аэропорт
563;шоколадница;да;кафе;город москва, ленинградский проспект, дом 74, корпус 1;98;ленинградский проспект;37.516952 55.805133;район Аэропорт
564;subway;да;ресторан;город москва, ленинградский проспект, дом 74, корпус 6;15;ленинградский проспект;37.51688 55.806413;район Аэропорт
565;вок стайл;нет;ресторан;город москва, ленинградский проспект, дом 77, корпус 2;80;ленинградский проспект;37.508176 55.805214;район Сокол
566;максима пицца;нет;ресторан;город москва, ленинградский проспект, дом 78, корпус 1;160;ленинградский проспект;37.513296 55.806059;район Аэропорт
567;французская выпечка;да;кафе;город москва, ленинградский проспект, дом 78, корпус 1;6;ленинградский проспект;37.513296 55.806059;район Аэропорт
582;шаурма;нет;предприятие быстрого обслуживания;город москва, ленинский проспект, дом 2а;0;ленинский проспект;37.610988 55.728778;район Якиманка
583;порто;нет;ресторан;город москва, ленинский проспект, дом 11, строение 1;71;ленинский проспект;37.603945 55.723207;район Якиманка
584;де марко;да;кафе;город москва, ленинский проспект, дом 13;120;ленинский проспект;37.602085 55.722036;район Якиманка
585;ресторан «пивнушка»;нет;ресторан;город москва, ленинский проспект, дом 28;80;ленинский проспект;37.588566 55.713451;Донской район
586;шаурма;нет;закусочная;город москва, ленинский проспект, дом 34/1;4;ленинский проспект;37.57775 55.707365;Гагаринский район
587;кафетерий «итальянская кондитерская»;нет;кафетерий;город москва, ленинский проспект, дом 37;12;ленинский проспект;37.585691 55.709956;Донской район
588;ресторан «илья муромец»;да;ресторан;город москва, ленинский проспект, дом 37;96;ленинский проспект;37.585691 55.709956;Донской район
589;ресторан «буйабез»;нет;ресторан;город москва, ленинский проспект, дом 37;60;ленинский проспект;37.585691 55.709956;Донской район
590;ресторан «корчма тарас бульба»;да;ресторан;город москва, ленинский проспект, дом 37;70;ленинский проспект;37.585691 55.709956;Донской район
591;кофейня «шоколадница»;да;кафе;город москва, ленинский проспект, дом 37а;43;ленинский проспект;37.58667 55.708607;Донской район
592;школа № 1266;нет;столовая;город москва, ленинский проспект, дом 43;40;ленинский проспект;37.576277 55.704788;Гагаринский район
593;пицца аморэ;нет;ресторан;город москва, ленинский проспект, дом 43;46;ленинский проспект;37.576277 55.704788;Гагаринский район
594;флорентина сити;нет;ресторан;город москва, ленинский проспект, дом 57;80;ленинский проспект;37.561544 55.696575;Гагаринский район
595;стейк хаус гудман;да;ресторан;город москва, ленинский проспект, дом 57;80;ленинский проспект;37.561544 55.696575;Гагаринский район
596;brawlers pab;нет;ресторан;город москва, ленинский проспект, дом 61/1;80;ленинский проспект;37.558508 55.694855;Гагаринский район
597;true burgers;нет;предприятие быстрого обслуживания;город москва, ленинский проспект, дом 68/10;4;ленинский проспект;37.545833 55.689136;Гагаринский район
598;шоколадница;да;кафе;город москва, ленинский проспект, дом 68/10;68;ленинский проспект;37.545833 55.689136;Гагаринский район
599;иль патио;да;ресторан;город москва, ленинский проспект, дом 68/10;88;ленинский проспект;37.545833 55.689136;Гагаринский район
600;иль-патио;да;кафе;город москва, ленинский проспект, дом 68/10;88;ленинский проспект;37.545833 55.689136;Гагаринский район
601;якитория;да;ресторан;город москва, ленинский проспект, дом 68/10;96;ленинский проспект;37.545833 55.689136;Гагаринский район
602;азбука вкуса;нет;кафе;город москва, ленинский проспект, дом 82/2;10;ленинский проспект;37.533382 55.680732;Ломоносовский район
603;южное;нет;ресторан;город москва, ленинский проспект, дом 87;80;ленинский проспект;37.533742 55.679346;Ломоносовский район
604;азбука вкуса;нет;кафе;город москва, ленинский проспект, дом 91;10;ленинский проспект;37.529789 55.676646;Ломоносовский район
605;черетто;нет;кафе;город москва, ленинский проспект, дом 95;75;ленинский проспект;37.525863 55.673976;Ломоносовский район
606;рика;нет;кафе;город москва, ленинский проспект, дом 99;36;ленинский проспект;37.518758 55.668635;Обручевский район
607;мюнгер;да;кафе;город москва, ленинский проспект, дом 99;22;ленинский проспект;37.518758 55.668635;Обручевский район
608;кафе «башлам»;нет;кафе;город москва, ленинский проспект, дом 148;50;ленинский проспект;37.492949 55.655163;район Тропарёво-Никулино
681;сухарева башня;нет;кафе;город москва, проспект мира, дом 5, корпус 1;10;проспект мира;37.631918 55.774219;Мещанский район
682;ваби-саби;да;кафе;город москва, проспект мира, дом 29;64;проспект мира;37.63252 55.779803;Мещанский район
683;шоколадница;да;кафе;город москва, проспект мира, дом 29;40;проспект мира;37.63252 55.779803;Мещанский район
684;джаганнат;да;кафе;город москва, проспект мира, дом 31;25;проспект мира;37.632592 55.780122;Мещанский район
685;krispy creme;да;кафе;город москва, проспект мира, дом 40;36;проспект мира;37.633949 55.780203;Мещанский район
686;французская пекарня;нет;кафе;город москва, проспект мира, дом 47, строение 1;16;проспект мира;37.633841 55.782982;Мещанский район
687;prime прайм стар;да;кафе;город москва, проспект мира, дом 48, строение 6;32;проспект мира;37.634344 55.781813;Мещанский район
688;брусника;да;кафе;город москва, проспект мира, дом 49;40;проспект мира;37.633859 55.783494;Мещанский район
689;азбука вкуса;да;кафе;город москва, проспект мира, дом 49;20;проспект мира;37.633859 55.783494;Мещанский район
690;an nam;нет;ресторан;город москва, проспект мира, дом 54;60;проспект мира;37.635098 55.783397;Мещанский район
691;чайхона;нет;кафе;город москва, проспект мира, дом 56, строение 2;40;проспект мира;37.63562 55.784;Мещанский район
692;ти-бон;нет;ресторан;город москва, проспект мира, дом 58;85;проспект мира;37.63606 55.785392;Мещанский район
693;кальянная хука хауз;нет;бар;город москва, проспект мира, дом 70;20;проспект мира;37.635323 55.78812;Мещанский район
694;wine point;нет;кафе;город москва, проспект мира, дом 77, корпус 1;35;проспект мира;37.634299 55.789937;Мещанский район
695;крылышко-ножка;нет;кафе;город москва, проспект мира, дом 77, корпус 2;24;проспект мира;37.633742 55.789932;Мещанский район
696;бар «джонни грин паб»;нет;бар;город москва, проспект мира, дом 91, корпус 1;50;проспект мира;37.635278 55.805356;Останкинский район
697;бар «мир бильярда»;нет;бар;город москва, проспект мира, дом 91, корпус 3;70;проспект мира;37.635593 55.806894;Останкинский район
698;ресторан «макдоналдс»;да;предприятие быстрого обслуживания;город москва, проспект мира, дом 97;143;проспект мира;37.636392 55.809231;Останкинский район
699;шоколадница;да;кафе;город москва, проспект мира, дом 97;100;проспект мира;37.636392 55.809231;Останкинский район
700;ресторан «якитория»;да;ресторан;город москва, проспект мира, дом 97;25;проспект мира;37.636392 55.809231;Останкинский район
701;шоколадница;да;кафе;город москва, проспект мира, дом 112;150;проспект мира;37.637847 55.805943;Алексеевский район
702;босс-кулинария;нет;магазин (отдел кулинарии);город москва, проспект мира, дом 114б;0;проспект мира;37.63835 55.808154;Алексеевский район
703;крафтмания;нет;ресторан;город москва, проспект мира, дом 116;130;проспект мира;37.638 55.808948;Алексеевский район
704;кафе «штолле»;да;кафе;город москва, проспект мира, дом 118;22;проспект мира;37.638296 55.810663;Алексеевский район
705;ресторан «pesto»;нет;ресторан;город москва, проспект мира, дом 118;98;проспект мира;37.638296 55.810663;Алексеевский район
706;ресторан «джон джоли»;да;ресторан;город москва, проспект мира, дом 118;150;проспект мира;37.638296 55.810663;Алексеевский район
707;ресторан «тануки»;да;ресторан;город москва, проспект мира, дом 120;125;проспект мира;37.639339 55.811771;Алексеевский район
708;кафе «бирхаус»;нет;кафе;город москва, проспект мира, дом 124, корпус 4;74;проспект мира;37.639563 55.815858;Алексеевский район
709;пекарня «папан»;нет;магазин (отдел кулинарии);город москва, проспект мира, дом 180;10;проспект мира;37.646157 55.823803;Алексеевский район
710;кафе «золотая лестница»;нет;кафе;город москва, проспект мира, дом 186, корпус 1;41;проспект мира;37.650864 55.829011;Алексеевский район
938;стардогs;да;предприятие быстрого обслуживания;город москва, профсоюзная улица, дом 2/22;0;профсоюзная улица;37.572378 55.687477;Академический район
939;столовая шк. 4;нет;столовая;город москва, профсоюзная улица, дом 9;200;профсоюзная улица;37.568866 55.682422;Академический район
940;французская пекарня;нет;кафетерий;город москва, профсоюзная улица, дом 13/12;12;профсоюзная улица;37.566467 55.680554;Академический район
941;прованс;нет;кафе;город москва, профсоюзная улица, дом 15;30;профсоюзная улица;37.565335 55.679509;Академический район
942;шоколадница;да;кафе;город москва, профсоюзная улица, дом 16/10;40;профсоюзная улица;37.568938 55.68427;Академический район
943;корчма тарас бульба;да;ресторан;город москва, профсоюзная улица, дом 16/10;60;профсоюзная улица;37.568938 55.68427;Академический район
944;шоколадница;да;кафе;город москва, профсоюзная улица, дом 19;48;профсоюзная улица;37.564248 55.678458;Академический район
945;буфет шк. 584;нет;буфет;город москва, профсоюзная улица, дом 24, корпус 1;120;профсоюзная улица;37.564132 55.679813;Академический район
946;лимончино;нет;ресторан;город москва, профсоюзная улица, дом 33, строение 1;70;профсоюзная улица;37.557233 55.67194;
947;школа 190;нет;буфет;город москва, профсоюзная улица, дом 40, корпус 1;30;профсоюзная улица;37.558032 55.675306;район Черёмушки
948;гуп 1-ый автобусный парк «мосгортранс» автобусная;нет;столовая;город москва, профсоюзная улица, дом 58/32, корпус 1;16;профсоюзная улица;37.552328 55.669356;Обручевский район
949;кафе еасс;нет;кафе;город москва, профсоюзная улица, дом 98, корпус 10;20;профсоюзная улица;37.520141 55.649886;район Коньково
950;суши вок;да;кафе;город москва, профсоюзная улица, дом 113, корпус 1;10;профсоюзная улица;37.520285 55.63131;район Коньково
951;столовая гбоу школа № 1507 корпус школьного образования № 1507;нет;столовая;город москва, профсоюзная улица, дом 132, корпус 7;100;профсоюзная улица;37.507789 55.631752;район Тёплый Стан
952;столовая при доме-пансионате ветеранов науки;нет;столовая;город москва, профсоюзная улица, дом 132, корпус 8;75;профсоюзная улица;37.505319 55.63128;район Тёплый Стан
1424;кафе «топаз-джони»;нет;кафе;город москва, проспект мира, дом 108;16;проспект мира;37.63765 55.803535;Алексеевский район
1433;котлета;нет;ресторан;город москва, ленинградский проспект, дом 77, корпус 4;47;ленинградский проспект;37.506091 55.805776;район Сокол
1453;столовая при пансионате «коньково» для ветеранов войны;нет;столовая;город москва, профсоюзная улица, дом 140, корпус 6;95;профсоюзная улица;37.504025 55.630111;район Тёплый Стан
1455;talk of the town;нет;ресторан;город москва, ленинский проспект, дом 113/1;90;ленинский проспект;37.498168 55.655808;Обручевский район
1460;жасмин;нет;кафе;город москва, ленинский проспект, дом 121/1, корпус 3;45;ленинский проспект;37.484397 55.649251;Обручевский район
1473;иль патио планета суши;да;ресторан;город москва, проспект мира, дом 33, корпус 1;65;проспект мира;37.632098 55.780319;Мещанский район
1474;столовая в тоц олимпик плаза;нет;столовая;город москва, проспект мира, дом 33, корпус 1;50;проспект мира;37.632098 55.780319;Мещанский район
1476;сабвей;да;предприятие быстрого обслуживания;город москва, проспект мира, дом 146;15;проспект мира;37.642689 55.820834;Алексеевский район
1477;сушишоп;да;кафе;город москва, проспект мира, дом 146;18;проспект мира;37.642689 55.820834;Алексеевский район
1552;буфет;нет;буфет;город москва, проспект вернадского, дом 82, строение 2;40;проспект вернадского;37.475603 55.66734;район Тропарёво-Никулино
1562;кафе «tornano»;нет;кафе;город москва, проспект вернадского, дом 92;18;проспект вернадского;37.473168 55.655285;район Тропарёво-Никулино
1567;столовая школы 56;нет;столовая;город москва, кутузовский проспект, дом 22;200;кутузовский проспект;37.549264 55.745924;район Дорогомилово
1568;дижестив;нет;кафе;город москва, кутузовский проспект, дом 33;75;кутузовский проспект;37.540784 55.741465;район Дорогомилово
1569;столовая школы 1465;нет;столовая;город москва, кутузовский проспект, дом 24;25;кутузовский проспект;37.545267 55.744526;район Дорогомилово
1596;азбука вкуса;да;кафе;город москва, ленинградский проспект, дом 69, строение 1;10;ленинградский проспект;37.517716 55.802811;район Сокол
1597;булочная 5;нет;кафе;город москва, ленинградский проспект, дом 69, строение 1;15;ленинградский проспект;37.517716 55.802811;район Сокол
1598;чебуречная ссср;да;кафе;город москва, ленинградский проспект, дом 69, строение 1;45;ленинградский проспект;37.517716 55.802811;район Сокол
1614;изи паб;нет;кафе;город москва, каширское шоссе, дом 122;35;каширское шоссе;37.71813 55.605902;район Орехово-Борисово Южное
1617;кафе «мануфактура»;нет;кафе;город москва, варшавское шоссе, дом 9;70;варшавское шоссе;37.621669 55.700481;Донской район
1618;кофейня «старбакс»;да;кафе;город москва, варшавское шоссе, дом 9;42;варшавское шоссе;37.621669 55.700481;Донской район
1622;огни баку;нет;ресторан;город москва, варшавское шоссе, дом 152, корпус 2;380;варшавское шоссе;37.598339 55.591259;район Чертаново Южное
1693;маэстро ресто;нет;кафе;город москва, профсоюзная улица, дом 58, корпус 4;26;профсоюзная улица;37.550504 55.669407;Обручевский район
1696;пиццерия милано;нет;кафе;город москва, профсоюзная улица, дом 96;43;профсоюзная улица;37.527822 55.647468;район Коньково
1698;килфиш бар;нет;бар;город москва, профсоюзная улица, дом 104;80;профсоюзная улица;37.523456 55.64192;район Коньково
1699;кружка;да;кафе;город москва, профсоюзная улица, дом 104;220;профсоюзная улица;37.523456 55.64192;район Коньково
1700;дорф;нет;кафе;город москва, профсоюзная улица, дом 104;118;профсоюзная улица;37.523456 55.64192;район Коньково
1701;ресторан drunken duck pub;нет;ресторан;город москва, профсоюзная улица, дом 104;150;профсоюзная улица;37.523456 55.64192;район Коньково
1702;руккола;да;кафе;город москва, профсоюзная улица, дом 104;92;профсоюзная улица;37.523456 55.64192;район Коньково
1703;якитория;да;кафе;город москва, профсоюзная улица, дом 104;198;профсоюзная улица;37.523456 55.64192;район Коньково
1708;ротекс;нет;ресторан;город москва, ленинский проспект, дом 111, корпус 1;90;ленинский проспект;37.509343 55.661328;Обручевский район
1709;«ип» шацкая е.м;нет;предприятие быстрого обслуживания;город москва, профсоюзная улица, дом 25, корпус 1;0;профсоюзная улица;37.562667 55.674006;
1731;кафе «delonix»;нет;кафе;город москва, проспект вернадского, дом 94, корпус 1;38;проспект вернадского;37.475513 55.652659;район Тропарёво-Никулино
1906;пицца хат;да;кафе;город москва, ленинградский проспект, дом 80, корпус 19;15;ленинградский проспект;37.5114 55.80737;район Сокол
1907;сабвей;да;кафе;город москва, ленинградский проспект, дом 80, корпус 17;20;ленинградский проспект;37.511508 55.807951;район Сокол
1908;кулинарная лавка братьев караваевых;да;кафе;город москва, ленинградский проспект, дом 80, корпус 17;10;ленинградский проспект;37.511508 55.807951;район Сокол
1917;джон донн;нет;кафе;город москва, ленинский проспект, дом 4, строение 1а;50;ленинский проспект;37.608877 55.727491;район Якиманка
1920;кафе «мир кебаб»;нет;кафе;город москва, проспект мира, дом 95, строение 3;48;проспект мира;37.635045 55.807658;Останкинский район
1937;джимми ли;нет;кафе;город москва, проспект мира, дом 12, строение 1;98;проспект мира;37.632637 55.774639;Мещанский район
1952;хинкальная «кахури»;нет;кафе;город москва, профсоюзная улица, дом 122;45;профсоюзная улица;37.518102 55.633709;район Тёплый Стан
1998;столовая (закрытое);нет;столовая;город москва, ленинский проспект, дом 8, корпус 5;50;ленинский проспект;37.603451 55.724429;район Якиманка
1999;кафе «хинкальная»;нет;кафе;город москва, ленинский проспект, дом 89/2;30;ленинский проспект;37.531622 55.677935;Ломоносовский район
2000;буфет гбоу «школа №117»;нет;столовая;город москва, ленинский проспект, дом 93а;86;ленинский проспект;37.528163 55.674184;Ломоносовский район
2002;жестокий романс;нет;ресторан;город москва, ленинский проспект, дом 105;46;ленинский проспект;37.513395 55.665309;Обручевский район
2003;школа № 192;нет;столовая;город москва, ленинский проспект, дом 34а;60;ленинский проспект;37.57484 55.706741;Гагаринский район
2004;школа № 198;нет;столовая;город москва, ленинский проспект, дом 39а;60;ленинский проспект;37.583697 55.706533;Гагаринский район
2013;буфет гбоу «гуманитарный лицей № 1536»;нет;столовая;город москва, ленинский проспект, дом 83а;74;ленинский проспект;37.53932 55.680087;Ломоносовский район
2109;восточная кухня;нет;кафе;город москва, ленинский проспект, дом 65, корпус 2;24;ленинский проспект;37.557188 55.692059;Гагаринский район
2113;росс;нет;столовая;город москва, ленинский проспект, дом 65, корпус 1;290;ленинский проспект;37.55487 55.692232;Гагаринский район
2114;лайт;нет;кафе;город москва, ленинский проспект, дом 65, корпус 1;28;ленинский проспект;37.55487 55.692232;Гагаринский район
2115;столовая (закрытое);нет;столовая;город москва, ленинский проспект, дом 4, строение 1;40;ленинский проспект;37.609461 55.728287;район Якиманка
2116;столовая;нет;столовая;город москва, ленинский проспект, дом 1/2, корпус 1;80;ленинский проспект;37.609901 55.727136;район Якиманка
2117;шашлык -хаус;нет;кафе;город москва, ленинский проспект, дом 1/2, корпус 1;40;ленинский проспект;37.609901 55.727136;район Якиманка
2121;столовая (закрытое);нет;столовая;город москва, ленинский проспект, дом 9;80;ленинский проспект;37.605499 55.72416;район Якиманка
2123;колхида;нет;кафе;город москва, проспект вернадского, дом 29;97;проспект вернадского;37.51662 55.681666;Ломоносовский район
2124;трапеза;нет;кафе;город москва, проспект вернадского, дом 29;20;проспект вернадского;37.51662 55.681666;Ломоносовский район
2125;пиццерия ii pittore;нет;кафе;город москва, проспект вернадского, дом 29;13;проспект вернадского;37.51662 55.681666;Ломоносовский район
2126;домино'с пицца;да;кафе;город москва, проспект вернадского, дом 29;10;проспект вернадского;37.51662 55.681666;Ломоносовский район
2127;додо пицца;да;кафе;город москва, проспект вернадского, дом 29;50;проспект вернадского;37.51662 55.681666;Ломоносовский район
2128;берлин кебаб;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 29;10;проспект вернадского;37.51662 55.681666;Ломоносовский район
2130;пищеблок ( закрытое);нет;столовая;город москва, ленинский проспект, дом 8, корпус 23;0;ленинский проспект;37.601304 55.724672;район Якиманка
2133;шоколадница;да;кафе;город москва, ленинский проспект, дом 2;90;ленинский проспект;37.611392 55.729524;район Якиманка
2134;бургер кинг burger king;да;предприятие быстрого обслуживания;город москва, ленинский проспект, дом 2;144;ленинский проспект;37.611392 55.729524;район Якиманка
2135;one bucks coffee;нет;предприятие быстрого обслуживания;город москва, ленинский проспект, дом 2;0;ленинский проспект;37.611392 55.729524;район Якиманка
2146;столовая «школа 1263»;нет;столовая;город москва, ленинский проспект, дом 18а;100;ленинский проспект;37.593318 55.717913;район Якиманка
2463;иль бароло;нет;ресторан;город москва, ленинградский проспект, дом 63;90;ленинградский проспект;37.519755 55.802654;район Сокол
