;object_name;chain;object_type;address;number;street;coords;district
11679;столовая;нет;столовая;город москва, малая андроньевская улица, дом 20/8, строение 1-1а;86;малая андроньевская улица;37.672594 55.7422;Таганский район
11890;хлеб насущный;да;кафе;город москва, улица авиаконструктора микояна, дом 12;30;улица авиаконструктора микояна;37.527588 55.792589;Хорошёвский район
11915;папа джонс;да;кафе;город москва, северодвинская улица, дом 20;20;северодвинская улица;37.675154 55.893647;район Северное Медведково
11943;домино'с пицца;да;предприятие быстрого обслуживания;город москва, 4-й кожевнический переулок, дом 4;16;4-й кожевнический переулок;37.649085 55.725143;Даниловский район
12016;кафе при азс лукойл;да;кафе;город москва, малая тульская улица, дом 57;17;малая тульская улица;37.617321 55.701638;Донской район
12154;кафе «фейна»;нет;кафе;город москва, мерзляковский переулок, дом 15;15;мерзляковский переулок;37.59648 55.756721;Пресненский район
12159;кафе «кафейня»;нет;кафе;город москва, электрический переулок, дом 8, строение 2;20;электрический переулок;37.57687 55.771712;Пресненский район
12182;ветерок;нет;кафе;город москва, улица старые кузьминки, дом 10;40;улица старые кузьминки;37.786896 55.690588;район Кузьминки
12210;ресторан «архитектор»;нет;кафе;город москва, гранатный переулок, дом 7, строение 1;100;гранатный переулок;37.590506 55.75937;Пресненский район
12275;plan b;нет;закусочная;город москва, улица атарбекова, дом 4а;8;улица атарбекова;37.707934 55.796547;район Преображенское
12299;пиво бар;нет;бар;город москва, проезд донелайтиса, дом 30;0;проезд донелайтиса;37.420482 55.846108;район Южное Тушино
12345;грузинская пекарня;нет;магазин (отдел кулинарии);город москва, улица маршала мерецкова, дом 4;2;улица маршала мерецкова;37.490299 55.793748;район Щукино
12363;зеленый змий;нет;буфет;город москва, 2-я прядильная улица, дом 4;4;2-я прядильная улица;37.776916 55.79516;район Измайлово
12465;сушиguru;нет;кафе;город москва, челюскинская улица, дом 13;6;челюскинская улица;37.706766 55.883807;Лосиноостровский район
12476;бон кафе;нет;магазин (отдел кулинарии);город москва, улица захарьинские дворики, дом 1, корпус 1;0;улица захарьинские дворики;37.576412 55.503767;район Южное Бутово
12490;гюмри;нет;кафе;город москва, базовая улица, дом 2, корпус 1;60;базовая улица;37.261857 55.61448;район Внуково
12492;ivas lounge;нет;бар;город москва, симферопольский проезд, дом 18;20;симферопольский проезд;37.613952 55.665162;Нагорный район
12538;ресторан «bbcafe»;нет;ресторан;город москва, скатертный переулок, дом 13;75;скатертный переулок;37.594647 55.755753;Пресненский район
12600;столовая;нет;столовая;город москва, 3-й лихачёвский переулок, дом 2а;190;3-й лихачёвский переулок;37.516844 55.846851;Головинский район
12700;бильярдный клуб «дуплет»;нет;кафе;город москва, улица кухмистерова, дом 20, корпус 2;40;улица кухмистерова;37.730041 55.683067;район Печатники
12730;лесной уют;нет;кафе;город москва, народный проспект, дом 17, строение 24;30;народный проспект;37.754269 55.774603;район Измайлово
12845;дядя ваня;нет;кафе;город москва, проспект 40 лет октября, дом 7, строение 2;48;проспект 40 лет октября;37.746409 55.68158;район Люблино
12907;стильавто;нет;кафе;город москва, улица айвазовского, владение 7, строение 1;33;улица айвазовского;37.54003 55.613656;район Ясенево
12918;кунак;нет;кафе;город москва, тарусская улица, дом 10;50;тарусская улица;37.533786 55.60938;район Ясенево
12962;самарканд;нет;кафе;город москва, производственная улица, дом 1, корпус 1, строение 1;15;производственная улица;37.381028 55.649647;район Солнцево
12982;вкус востока;нет;кафе;город москва, улица максимова, дом 18;40;улица максимова;37.464985 55.796688;район Щукино
12988;легенда самарканда;нет;кафе;город москва, парусный проезд, дом 5, строение 1;48;парусный проезд;37.449884 55.846937;район Южное Тушино
13012;кофе и ко;нет;ресторан;город москва, мишина улица, дом 35;8;мишина улица;37.561931 55.796638;Савёловский район
13037;бургеры;нет;кафе;город москва, ижорский проезд, дом 17;16;ижорский проезд;37.522108 55.890765;Дмитровский район
13108;кафе при азс нефтьмагистраль;нет;кафе;город москва, канатчиковский проезд, владение 5;6;канатчиковский проезд;37.592482 55.702368;Донской район
13112;кафе;нет;кафе;город москва, 1-й кожевнический переулок, дом 6, строение 1;85;1-й кожевнический переулок;37.645959 55.726639;Даниловский район
13260;кафе «yummy»;нет;кафе;город москва, поселение десеновское, 1-я ватутинская улица, дом 5;45;1-я ватутинская улица;37.331639 55.501111;
13273;столовая гбоу школа № 1387;нет;столовая;город москва, машкинское шоссе, дом 7;192;машкинское шоссе;37.386867 55.910483;район Куркино
13297;амстердам чипс компани;нет;кафе;город москва, тестовская улица, дом 1;16;тестовская улица;37.533068 55.747895;Пресненский район
13377;чешская пивная пилзнер;да;ресторан;город москва, малый путинковский переулок, дом 1/2, строение 1;80;малый путинковский переулок;37.608185 55.766283;Тверской район
13546;пекарня папан;нет;кафе;город москва, 2-я квесисская улица, дом 23;20;2-я квесисская улица;37.574893 55.794629;Савёловский район
13576;чайхона vizir;нет;кафе;город москва, 2-я улица марьиной рощи, дом 22;45;2-я улица марьиной рощи;37.620186 55.799674;район Марьина Роща
13594;жингялов хац гирос бургер;нет;кафе;город москва, 2-й новоподмосковный переулок, дом 8;6;2-й новоподмосковный переулок;37.509478 55.819049;Войковский район
13618;kaufman кафе;нет;кафе;город москва, посланников переулок, дом 9, строение 5;30;посланников переулок;37.683194 55.770831;Басманный район
13627;кулинариум;нет;магазин (отдел кулинарии);город москва, рижский проезд, дом 7;0;рижский проезд;37.660611 55.814143;Алексеевский район
13664;кафе «скалка»;нет;кафе;город москва, 2-я филёвская улица, дом 13;18;2-я филёвская улица;37.490057 55.73923;район Филёвский Парк
13747;тандыр;нет;магазин (отдел кулинарии);город москва, улица льва яшина, дом 5, корпус 1;0;улица льва яшина;37.923044 55.698224;район Некрасовка
13775;корнер;нет;кафе;город москва, композиторская улица, дом 17;25;композиторская улица;37.586302 55.751224;район Арбат
13852;кафе-пекарня арчибальд;нет;кафе;город москва, яхромская улица, дом 3;16;яхромская улица;37.538916 55.883449;Дмитровский район
13861;lao lee;нет;кафе;город москва, миусская площадь, дом 9, строение 8;149;миусская площадь;37.596588 55.778978;Тверской район
13866;наливки;нет;кафе;город москва, 1-й спасоналивковский переулок, дом 8, строение 2;14;1-й спасоналивковский переулок;37.616701 55.7333;район Якиманка
13902;cedro;нет;ресторан;город москва, 4-й вятский переулок, дом 10;60;4-й вятский переулок;37.576241 55.801541;Савёловский район
13918;крафт 1.8;нет;кафе;город москва, винницкая улица, дом 1;30;винницкая улица;37.49683 55.698041;район Раменки
13939;шаурма;нет;закусочная;город москва, проезд якушкина, дом 7;0;проезд якушкина;37.611131 55.861029;район Отрадное
13955;кафе «багратион»;нет;кафе;город москва, сеченовский переулок, дом 7а;38;сеченовский переулок;37.594692 55.740694;район Хамовники
14060;кафе-пекарня;нет;закусочная;город москва, староникольская улица, дом 14а;10;староникольская улица;37.544746 55.509844;район Южное Бутово
14114;шаверма;нет;предприятие быстрого обслуживания;город москва, 1-й силикатный проезд, дом 13;0;1-й силикатный проезд;37.510439 55.767863;район Хорошёво-Мнёвники
14227;кафе;нет;кафе;город москва, 3-й угрешский проезд, дом 8, строение 2;15;3-й угрешский проезд;37.699822 55.712315;район Печатники
14440;пацио пицца;нет;кафе;город москва, улица линии октябрьской железной дороги, дом 2, строение 2;20;улица линии октябрьской железной дороги;37.572082 55.838819;Тимирязевский район
14704;кадаши ( закрытый);нет;ресторан;город москва, 2-й кадашёвский переулок, дом 16, строение 1;15;2-й кадашёвский переулок;37.621902 55.743745;район Якиманка
14798;кондитерская «пряник.рогалик»;нет;кафе;город москва, город троицк, пионерская улица, дом 2;20;пионерская улица;37.305507 55.475919;
14974;горячий хлеб;нет;предприятие быстрого обслуживания;город москва, поселение десеновское, улица дмитрия рябинкина, дом 13;0;улица дмитрия рябинкина;37.332474 55.502615;
15017;кофейня;нет;кафетерий;город москва, поселение щаповское, улица евгения родионова, владение 1;16;улица евгения родионова;37.360987 55.384124;
