;object_name;chain;object_type;address;number;street;coords;district
2683;при вечерней школе 148;нет;столовая;город москва, 2-я гражданская улица, дом 8;50;2-я гражданская улица;37.701062 55.813647;район Богородское
2685;при школе 382;нет;столовая;город москва, андреево-забелинская улица, дом 28;120;андреево-забелинская улица;37.71071 55.81561;район Богородское
2690;при школе 374;нет;буфет;город москва, миллионная улица, дом 5;125;миллионная улица;37.697963 55.816252;район Богородское
2699;при школе 363;нет;буфет;город москва, алымов переулок, дом 15;120;алымов переулок;37.712461 55.807193;район Богородское
2700;при школе 365;нет;буфет;город москва, 5-й проезд подбельского, дом 2;90;5-й проезд подбельского;37.728685 55.817314;район Богородское
2712;стол. шк. 163;нет;столовая;город москва, линейный проезд, дом 11;200;линейный проезд;37.573474 55.842292;Тимирязевский район
2713;гбоу школа №771;нет;столовая;город москва, икшинская улица, дом 12;247;икшинская улица;37.537425 55.886276;Дмитровский район
2714;стол. шк. 929;нет;столовая;город москва, улица немчинова, дом 8;140;улица немчинова;37.567491 55.823955;Тимирязевский район
2726;гбоу школа дмитровский;нет;столовая;город москва, вагоноремонтная улица, дом 15а;247;вагоноремонтная улица;37.532762 55.896413;Дмитровский район
2727;стол.школы 1592 кшп «логарифм»;нет;столовая;город москва, бескудниковский проезд, дом 4а;240;бескудниковский проезд;37.55452 55.874905;Бескудниковский район
2728;стол.шк.n208 гуп«школьное питание»;нет;столовая;город москва, бескудниковский переулок, дом 4а;240;бескудниковский переулок;37.556882 55.862868;Бескудниковский район
2736;стол. шк.207;нет;столовая;город москва, астрадамский проезд, дом 5;60;астрадамский проезд;37.560431 55.812651;Тимирязевский район
2737;гбоу школа дмитровский;нет;столовая;город москва, карельский бульвар, дом 20;67;карельский бульвар;37.538018 55.895454;Дмитровский район
2741;апрель;нет;ресторан;город москва, живарев переулок, дом 8, строение 3;80;живарев переулок;37.643552 55.776634;Красносельский район
2751;гбоу пушкинская школа № 1500;нет;столовая;город москва, скорняжный переулок, дом 3, строение 1;150;скорняжный переулок;37.642339 55.773256;Красносельский район
2754;graff lounge;нет;ресторан;город москва, 1-й коптельский переулок, дом 2/7, строение 1;45;1-й коптельский переулок;37.637847 55.772507;Красносельский район
2782;буфет № 6 ргау-мсха им. к.а. тимирязева;нет;буфет;город москва, тимирязевский проезд, дом 2;16;тимирязевский проезд;37.552085 55.833976;Тимирязевский район
2842;лоза;нет;кафе;город москва, институтский переулок, дом 2;50;институтский переулок;37.614545 55.784415;район Марьина Роща
2852;гбоу многопрофильный лицей № 1501;нет;буфет;город москва, улица достоевского, дом 25, строение 1;60;улица достоевского;37.606784 55.783818;Тверской район
2894;спорт-бар гладиатор;нет;бар;город москва, улица фонвизина, дом 17;15;улица фонвизина;37.586994 55.821092;Бутырский район
2926;да пино;да;ресторан;город москва, делегатская улица, дом 7, строение 1;145;делегатская улица;37.612057 55.775869;Тверской район
2937;столовая школы 12;нет;столовая;город москва, 2-й сетуньский проезд, дом 9;250;2-й сетуньский проезд;37.533005 55.73072;район Раменки
2956;школа № 706 (доготовочная столовая);нет;столовая;город москва, песчаный переулок, дом 6;140;песчаный переулок;37.508418 55.799684;район Сокол
2965;буфет школы 153;нет;буфет;город москва, прибрежный проезд, дом 12;90;прибрежный проезд;37.465263 55.873405;район Левобережный
2997;кафе «восточная сказка»;нет;кафе;город москва, 3-я подрезковская улица, дом 14, строение 2;60;3-я подрезковская улица;37.356091 55.940573;Молжаниновский район
3011;столовая гимназии 1570;нет;буфет;город москва, переулок расковой, дом 14а;70;переулок расковой;37.576331 55.78645;район Беговой
3025;школа 1012;нет;столовая;город москва, родниковая улица, дом 20, корпус 1;320;родниковая улица;37.380992 55.634278;район Солнцево
3037;школьно-базовая столовая;нет;столовая;город москва, большая бутовская улица, дом 9;120;большая бутовская улица;37.581855 55.543318;район Южное Бутово
3042;цо №1450 «комбинат дошкольного питания»;нет;столовая;город москва, фруктовая улица, дом 9;300;фруктовая улица;37.612308 55.658439;Нагорный район
3045;офицерское собрание ресторан;нет;ресторан;город москва, черниговский переулок, дом 9/13, строение 2;30;черниговский переулок;37.625981 55.743497;район Замоскворечье
3053;буфет полиграфического колледжа 56;нет;буфет;город москва, полтавская улица, дом 3;120;полтавская улица;37.573088 55.793677;Савёловский район
3066;бар (закрытое);нет;буфет;город москва, пыжёвский переулок, дом 5, строение 1;30;пыжёвский переулок;37.622306 55.738982;район Якиманка
3071;столовая «анокпумгкэит»;нет;столовая;город москва, улица академика петровского, дом 10;150;улица академика петровского;37.60735 55.718953;Донской район
3123;nook cofee;нет;кафе;город москва, нелидовская улица, дом 10, строение 1;14;нелидовская улица;37.442949 55.846067;район Южное Тушино
3124;школа № 1431;нет;столовая;город москва, 1-й тушинский проезд, дом 12;240;1-й тушинский проезд;37.418308 55.833809;район Покровское-Стрешнево
3127;кафе;нет;кафе;город москва, проезд досфлота, дом 2, строение 1;24;проезд досфлота;37.459235 55.840841;район Южное Тушино
3143;школа № 830 корпус № 4;нет;столовая;город москва, врачебный проезд, дом 12;210;врачебный проезд;37.458984 55.813642;район Покровское-Стрешнево
3162;ярославский посад;нет;буфет;город москва, 3-й стрелецкий проезд, дом 3;36;3-й стрелецкий проезд;37.6047 55.795357;район Марьина Роща
3199;принцесса;нет;ресторан;город москва, попов проезд, дом 2;200;попов проезд;37.697442 55.783185;район Сокольники
3201;кафе;нет;кафе;город москва, 1-я боевская улица, дом 6;44;1-я боевская улица;37.692815 55.791805;район Сокольники
3220;столовая школы 380;нет;столовая;город москва, 2-я улица бухвостова, дом 6;100;2-я улица бухвостова;37.707557 55.798161;район Преображенское
3254;школьная столовая № 1874;нет;столовая;город москва, улица маршала новикова, дом 13;170;улица маршала новикова;37.463143 55.803074;район Щукино
3256;столовая гбоу школа № 1560 «лидер»;нет;столовая;город москва, новохорошёвский проезд, дом 12;250;новохорошёвский проезд;37.496075 55.779656;район Хорошёво-Мнёвники
3276;столовая института мировых цивилизаций;нет;столовая;город москва, 1-й басманный переулок, дом 3, строение 1;50;1-й басманный переулок;37.662838 55.770785;Красносельский район
3289;9bar;нет;кафетерий;город москва, стромынский переулок, дом 4;0;стромынский переулок;37.694055 55.793085;район Сокольники
3296;кафе «хомяк»;нет;кафе;город москва, заводской проезд, дом 25;35;заводской проезд;37.789663 55.790241;район Измайлово
3301;столовая при школе 1362;нет;столовая;город москва, лечебная улица, дом 20;80;лечебная улица;37.740812 55.78978;район Соколиная Гора
3320;столовая при школе интернат № 53;нет;столовая;город москва, кирпичная улица, дом 18;150;кирпичная улица;37.728658 55.776801;район Соколиная Гора
3332;сэлтинс;нет;буфет;город москва, стрелецкая улица, дом 2, строение 1;28;стрелецкая улица;37.597818 55.795545;район Марьина Роща
3336;гбоу школа №2200;нет;столовая;город москва, 11-я парковая улица, дом 50;112;11-я парковая улица;37.806299 55.807294;район Северное Измайлово
3338;столовая при колледже;нет;столовая;город москва, 14-я парковая улица, дом 4б;100;14-я парковая улица;37.816612 55.789932;район Восточное Измайлово
3345;столовая школы 434;нет;столовая;город москва, улица благуша, дом 6;80;улица благуша;37.723663 55.780532;
3349;столовая при школе 1056;нет;столовая;город москва, штурвальная улица, дом 7, корпус 2;240;штурвальная улица;37.444018 55.848316;район Южное Тушино
3350;алеся;нет;столовая;город москва, минаевский переулок, дом 2;60;минаевский переулок;37.602813 55.789218;район Марьина Роща
3359;бабу;нет;кафе;город москва, щёлковский проезд, дом 13;44;щёлковский проезд;37.777176 55.807122;район Северное Измайлово
3360;кафе «сочи»;нет;кафе;город москва, мажоров переулок, дом 5;15;мажоров переулок;37.711518 55.78237;район Соколиная Гора
3367;кофе-хаус;да;кафе;город москва, измайловская площадь, дом 1а;98;измайловская площадь;37.775981 55.79266;район Измайлово
3371;цо 345;нет;столовая;город москва, елоховский проезд, дом 1, строение 5;100;елоховский проезд;37.672666 55.772998;Басманный район
3375;школа 1204;нет;буфет;город москва, рубцов переулок, дом 10/14;77;рубцов переулок;37.691638 55.772861;Басманный район
3381;мосводоканал;нет;столовая;город москва, плетешковский переулок, дом 2;90;плетешковский переулок;37.674409 55.771408;Басманный район
3388;школа №87;нет;столовая;город москва, улица николаева, дом 5;40;улица николаева;37.568138 55.756523;Пресненский район
3391;малыш и карлсон;нет;буфет;город москва, триумфальная площадь, дом 2, строение 1;15;триумфальная площадь;37.595402 55.768264;Тверской район
3442;префектура;нет;столовая;город москва, город зеленоград, центральный проспект, дом 1;100;центральный проспект;37.214768 55.990695;район Савёлки
3465;буфет медицинского училища при гкб им. боткина;нет;буфет;город москва, 2-й боткинский проезд, дом 5, корпус 28;40;2-й боткинский проезд;37.548456 55.78074;район Беговой
3527;буфет;нет;буфет;город москва, мамоновский переулок, дом 10, строение 1;4;мамоновский переулок;37.599876 55.766228;Тверской район
3529;золотой дракон;нет;кафе;город москва, дегтярный переулок, дом 6, строение 1;86;дегтярный переулок;37.603684 55.768547;Тверской район
3530;ливанец;нет;кафе;город москва, глинищевский переулок, дом 3;98;глинищевский переулок;37.609775 55.763265;Тверской район
3597;гарден;нет;ресторан;город москва, 3-я песчаная улица, дом 2;80;3-я песчаная улица;37.51785 55.792645;Хорошёвский район
3619;обломов;нет;ресторан;город москва, 1-й монетчиковский переулок, дом 5, строение 1;75;1-й монетчиковский переулок;37.628316 55.732256;район Замоскворечье
3621;квартира 44;да;кафе;город москва, улица малая ордынка, дом 24;38;улица малая ордынка;37.625208 55.735459;район Замоскворечье
3624;школа 540 «кдп»;нет;столовая;город москва, хавская улица, дом 15;200;хавская улица;37.614276 55.713446;Даниловский район
3630;кафе «ванадис»;нет;кафе;город москва, жуков проезд, дом 8, строение 3;30;жуков проезд;37.646229 55.721975;Даниловский район
3633;ирландский паб белфаст;нет;кафе;город москва, средний овчинниковский переулок, дом 1, строение 13;40;средний овчинниковский переулок;37.630652 55.745134;район Замоскворечье
3639;школа 573 «кдп»;нет;столовая;город москва, 5-й рощинский проезд, дом 4;120;5-й рощинский проезд;37.612173 55.710626;Даниловский район
3642;солнечный очаг;нет;ресторан;город москва, улица богданова, дом 56б;60;улица богданова;37.392661 55.647686;район Солнцево
3652;школа 1000;нет;столовая;город москва, наро-фоминская улица, дом 1;130;наро-фоминская улица;37.390604 55.657733;район Солнцево
3653;школа 1009;нет;столовая;город москва, улица щорса, дом 5;200;улица щорса;37.407681 55.646492;район Солнцево
3670;mojo;нет;кафе;город москва, сверчков переулок, дом 8, строение 1;63;сверчков переулок;37.639878 55.760226;Басманный район
3701;eleven-hall;нет;ресторан;город москва, малый каретный переулок, дом 11, строение 2;100;малый каретный переулок;37.614806 55.771327;Тверской район
3713;осипов а.с. (прод.база «очаково»);нет;столовая;город москва, проектируемый проезд № 1980, дом 4;60;проектируемый проезд № 1980;37.43728 55.67225;район Очаково-Матвеевское
3754;моск. гор. колледж инф-х технологий;нет;столовая;город москва, костомаровская набережная, дом 29, строение 1;84;костомаровская набережная;37.668695 55.750428;Таганский район
3755;гостиница лефортово;нет;ресторан;город москва, 1-й краснокурсантский проезд, дом 1/4;200;1-й краснокурсантский проезд;37.689761 55.758149;район Лефортово
3756;столовая при ммгп «мосгаз» буфет;нет;столовая;город москва, мрузовский переулок, дом 11, строение 1;30;мрузовский переулок;37.66742 55.757445;Басманный район
3760;полковнику никто не пишет;нет;кафе;город москва, петроверигский переулок, дом 4, строение 1;44;петроверигский переулок;37.636608 55.756791;Басманный район
3763;школа 1227;нет;буфет;город москва, большой трёхсвятительский переулок, дом 4;55;большой трёхсвятительский переулок;37.646049 55.754978;Басманный район
3765;школа 330;нет;буфет;город москва, большой казённый переулок, дом 9;55;большой казённый переулок;37.655634 55.760373;Басманный район
3766;лицей 1303;нет;столовая;город москва, таможенный проезд, дом 4;170;таможенный проезд;37.67917 55.751852;район Лефортово
3768;школа 1229;нет;столовая;город москва, верхний золоторожский переулок, дом 2;170;верхний золоторожский переулок;37.679287 55.750388;район Лефортово
3775;школа 416;нет;столовая;город москва, шепелюгинская улица, дом 21/13, строение 1;150;шепелюгинская улица;37.703631 55.745144;район Лефортово
3776;школа 733;нет;столовая;город москва, лонгиновская улица, дом 6;120;лонгиновская улица;37.711455 55.767372;район Лефортово
3784;столовая при фгбоу во мпгу;нет;столовая;город москва, несвижский переулок, дом 3;26;несвижский переулок;37.588081 55.731764;район Хамовники
3841;столовая при гбоу лицей 1555;нет;столовая;город москва, хилков переулок, дом 3а;45;хилков переулок;37.598079 55.737193;район Хамовники
3844;столовая при гбоу лицей 1535;нет;столовая;город москва, малый саввинский переулок, дом 8;105;малый саввинский переулок;37.562137 55.731054;район Хамовники
3852;столовая при образовательном комплексе дизайна и технологии;нет;столовая;город москва, улица савельева, дом 5;100;улица савельева;37.562892 55.722482;район Хамовники
3853;столовая при гбоу школа 57;нет;столовая;город москва, переулок хользунова, дом 8;48;переулок хользунова;37.580499 55.730096;район Хамовники
3872;столовая при гимназии 1529 им. а.с. грибоедова;нет;столовая;город москва, 2-й обыденский переулок, дом 9;30;2-й обыденский переулок;37.603505 55.741333;район Хамовники
3875;буфет на хитровке;нет;кафе;город москва, хитровский переулок, дом 3/1, строение 4;12;хитровский переулок;37.643363 55.753402;Басманный район
3891;столовая при управлении судебного департамента;нет;столовая;город москва, андроньевская площадь, дом 5/9;45;андроньевская площадь;37.669477 55.747211;Таганский район
3910;ред брик;нет;бар;город москва, хохловский переулок, дом 10, строение 6;50;хохловский переулок;37.644091 55.755925;Басманный район
3954;столовая при шк. 2093 (783);нет;столовая;город москва, союзный проспект, дом 2;240;союзный проспект;37.80338 55.750459;район Новогиреево
3975;столовая при шк. 2072;нет;столовая;город москва, утренняя улица, дом 12;200;утренняя улица;37.792753 55.74747;район Новогиреево
3994;столовая при шк. 2093 (787);нет;столовая;город москва, улица алексея дикого, дом 18а;150;улица алексея дикого;37.810557 55.746375;район Новогиреево
4134;школа 2104;нет;столовая;город москва, 1-й котельнический переулок, дом 5, строение 2;35;1-й котельнический переулок;37.645375 55.74371;Таганский район
4156;школа №1272;нет;столовая;город москва, 1-й кожуховский проезд, дом 17;120;1-й кожуховский проезд;37.663925 55.70807;Даниловский район
4157;школа 574 кдп;нет;столовая;город москва, высокая улица, дом 6;210;высокая улица;37.654385 55.679052;район Нагатино-Садовники
4171;донер бистро;нет;предприятие быстрого обслуживания;город москва, гончарная набережная, дом 9/16, строение 3;0;гончарная набережная;37.64869 55.737481;Таганский район
4176;гбоу школа №498;нет;столовая;город москва, улица малые каменщики, дом 18;0;улица малые каменщики;37.654188 55.735555;Таганский район
4185;школа 485;нет;столовая;город москва, 3-й кожуховский проезд, дом 3а;120;3-й кожуховский проезд;37.675289 55.70777;Южнопортовый район
4197;столовая мгпу;нет;столовая;город москва, 2-й сельскохозяйственный проезд, дом 4, строение 1;150;2-й сельскохозяйственный проезд;37.642186 55.833648;район Ростокино
4199;цсо;нет;столовая;город москва, магаданская улица, дом 9;40;магаданская улица;37.684138 55.877859;Лосиноостровский район
4208;столовая (гбоу «школа №1558имени росалии де кастро»);нет;столовая;город москва, печорская улица, дом 18;300;печорская улица;37.657269 55.865869;Бабушкинский район
4209;столовая-доготовочная при школе 1099;нет;столовая;город москва, улица ротерта, дом 5;300;улица ротерта;37.724238 55.874137;Ярославский район
4214;школа 529;нет;столовая;город москва, 2-я напрудная улица, дом 17;240;2-я напрудная улица;37.688782 55.87944;Лосиноостровский район
4219;столовая (гбоу «школа №1095»);нет;столовая;город москва, олонецкий проезд, дом 6;240;олонецкий проезд;37.662946 55.874279;Бабушкинский район
4220;столовая (гбоу «школа №281»);нет;буфет;город москва, улица рудневой, дом 10;60;улица рудневой;37.677041 55.866586;Бабушкинский район
4222;столовая-доготовочная при школе 1374;нет;столовая;город москва, федоскинская улица, дом 4;240;федоскинская улица;37.703739 55.868773;Ярославский район
4226;школа 762;нет;столовая;город москва, норильская улица, дом 4;300;норильская улица;37.696453 55.875844;Лосиноостровский район
4239;светлана;нет;кафе;город москва, таёжная улица, дом 1;45;таёжная улица;37.700559 55.880904;Лосиноостровский район
4246;школа 1188;нет;столовая;город москва, 1-я напрудная улица, дом 13;300;1-я напрудная улица;37.691064 55.879884;Лосиноостровский район
4278;столовая при московском коледже железнодорожного транспорта;нет;столовая;город москва, кучин переулок, дом 14, строение 1;134;кучин переулок;37.640003 55.804111;Алексеевский район
4320;столовая «потенциал»;нет;столовая;город москва, кулаков переулок, дом 7;150;кулаков переулок;37.639473 55.804713;Алексеевский район
4324;столовая при школе № 2107;нет;буфет;город москва, напрудный переулок, дом 13;30;напрудный переулок;37.631182 55.78851;Мещанский район
4326;буфет при ржевской бане;нет;буфет;город москва, банный проезд, дом 3, строение 1;4;банный проезд;37.631137 55.786814;Мещанский район
4338;столовая при школе № 2107;нет;буфет;город москва, переулок васнецова, дом 2;43;переулок васнецова;37.625783 55.775697;Мещанский район
4346;буфет-раздаточный при школе № 242;нет;буфет;город москва, 1-й проезд марьиной рощи, дом 3а;50;1-й проезд марьиной рощи;37.621696 55.793748;район Марьина Роща
4347;столовая при школе № 1297;нет;буфет;город москва, малая переяславская улица, дом 6/8;83;малая переяславская улица;37.63765 55.789406;Мещанский район
4354;столовая при гбоу школа № 1539;нет;столовая;город москва, староалексеевская улица, дом 1;200;староалексеевская улица;37.641836 55.810324;Алексеевский район
4356;столовая при школе № 2107;нет;буфет;город москва, больничный переулок, дом 4;34;больничный переулок;37.632053 55.785564;Мещанский район
4357;столовая при школе №1297;нет;столовая;город москва, глинистый переулок, дом 7, строение 1;140;глинистый переулок;37.63729 55.787548;Мещанский район
4367;столовая;нет;столовая;город москва, 3-я черепковская улица, дом 15а, строение 5;244;3-я черепковская улица;37.376258 55.755621;район Кунцево
4406;столовая гбоу города москвы № 587;нет;столовая;город москва, улица красных зорь, дом 61;110;улица красных зорь;37.426914 55.724713;Можайский район
4408;столовая гбпоу зкно;нет;столовая;город москва, улица ращупкина, дом 3;180;улица ращупкина;37.443982 55.724794;Можайский район
4409;столовая гбоу города москвы № 1400;нет;столовая;город москва, улица кубинка, дом 20, корпус 1;200;улица кубинка;37.408346 55.722974;Можайский район
4410;столовая гбоу города москвы № 1400;нет;столовая;город москва, улица кутузова, дом 20;120;улица кутузова;37.414499 55.72271;Можайский район
4411;столовая гбпоу зкно;нет;буфет;город москва, гродненская улица, дом 5;150;гродненская улица;37.435376 55.71769;Можайский район
4426;столовая гбоу города москвы № 391;нет;буфет;город москва, гжатская улица, дом 6;90;гжатская улица;37.440496 55.715799;Можайский район
4429;столовая гбоу города москвы № 1195;нет;буфет;город москва, вяземская улица, дом 7;100;вяземская улица;37.405534 55.712695;Можайский район
4435;буфет - гбоу сош №6;нет;буфет;город москва, улица екатерины будановой, дом 18;60;улица екатерины будановой;37.43322 55.729787;район Кунцево
4459;останкино;нет;закусочная;город москва, троилинский переулок, дом 3;25;троилинский переулок;37.58411 55.748037;район Арбат
4474;бабель;нет;ресторан;город москва, 1-й николощеповский переулок, дом 6, строение 2;140;1-й николощеповский переулок;37.580544 55.748706;район Арбат
4475;ля марэ;нет;ресторан;город москва, проточный переулок, дом 7;150;проточный переулок;37.58058 55.750165;район Арбат
4541;буфет-раздаточная № 731;нет;буфет;город москва, новорублёвская улица, дом 1;80;новорублёвская улица;37.36175 55.786996;район Кунцево
4574;школа 913;нет;буфет;город москва, улица степана шутова, дом 8, корпус 3;120;улица степана шутова;37.809686 55.674255;район Люблино
4576;школа № 439 ителлект;нет;столовая;город москва, орехово-зуевский проезд, дом 4;40;орехово-зуевский проезд;37.745367 55.731206;Нижегородский район
4579;столовая гну виэсх;нет;столовая;город москва, 1-й вешняковский проезд, дом 2, строение 1;20;1-й вешняковский проезд;37.78792 55.724312;Рязанский район
4584;palacio;нет;ресторан;город москва, улица паперника, дом 9;30;улица паперника;37.787084 55.720859;Рязанский район
4588;столовая спец.база атп-3 мосводоканал;нет;столовая;город москва, шоссе фрезер, дом 32, строение 1;10;шоссе фрезер;37.732817 55.734476;Нижегородский район
4596;столовая уоо цсбофнпр;нет;буфет;город москва, тихая улица, дом 30;120;тихая улица;37.747963 55.684686;район Люблино
4633;школа 335;нет;буфет;город москва, спортивный проезд, дом 3а;190;спортивный проезд;37.753847 55.684199;район Люблино
4650;школа 338;нет;буфет;город москва, мариупольская улица, дом 3;250;мариупольская улица;37.741351 55.674966;район Люблино
4652;гп шбс «люблино» шк. 654ст;нет;столовая;город москва, улица артюхиной, дом 17;220;улица артюхиной;37.739869 55.697488;район Текстильщики
4656;столовая при гоу сош № 495;нет;столовая;город москва, подольская улица, дом 15;160;подольская улица;37.71345 55.65178;район Марьино
4660;филиал шбс люблино шк. 493;нет;столовая;город москва, 1-й курьяновский проезд, дом 14;224;1-й курьяновский проезд;37.699517 55.657362;район Печатники
4676;коникс-школьник школа 1403;нет;столовая;город москва, 1-й саратовский проезд, дом 5;89;1-й саратовский проезд;37.736339 55.71163;район Текстильщики
4700;стумари;нет;кафе;город москва, тессинский переулок, дом 4, строение 2;55;тессинский переулок;37.6494 55.750287;Таганский район
4715;пу 33;нет;столовая;город москва, тетеринский переулок, дом 2а;100;тетеринский переулок;37.650145 55.745341;Таганский район
4718;школа 1468;нет;буфет;город москва, библиотечная улица, дом 29;33;библиотечная улица;37.676717 55.745199;Таганский район
4721;моск. гос. авиац.-технологич. университет;нет;буфет;город москва, берниковская набережная, дом 12, строение 1;32;берниковская набережная;37.651385 55.748812;Таганский район
4725;центральный дом адвоката;нет;столовая;город москва, малый полуярославский переулок, дом 3/5, строение 1;62;малый полуярославский переулок;37.661033 55.752237;Таганский район
4729;лицей №1581;нет;столовая;город москва, большой полуярославский переулок, дом 7;55;большой полуярославский переулок;37.663243 55.752607;Таганский район
4736;гбоу школа №480 им.в.в. талалихина;нет;столовая;город москва, стройковская улица, дом 5;0;стройковская улица;37.67502 55.733457;Таганский район
4802;8-ой троллейбусный парк;нет;буфет;город москва, улица инессы арманд, дом 13;31;улица инессы арманд;37.546884 55.589274;район Ясенево
4805;гоу сош № 1174;нет;столовая;город москва, феодосийская улица, дом 11а;157;феодосийская улица;37.575603 55.5636;район Северное Бутово
4817;пекарня;нет;магазин (отдел кулинарии);город москва, 1-й кирпичный переулок, дом 4, строение 2;10;1-й кирпичный переулок;37.73217 55.778051;район Соколиная Гора
4832;кафе гермес;нет;кафе;город москва, учинская улица, дом 10;85;учинская улица;37.537119 55.885181;Дмитровский район
4839;марма;нет;столовая;город москва, нарвская улица, дом 2;45;нарвская улица;37.508759 55.833607;район Коптево
4860;столовая (гбоу «школа №1558 имени росалии де кастро»);нет;столовая;город москва, чукотский проезд, дом 6;260;чукотский проезд;37.654089 55.868162;Бабушкинский район
4882;столовая;нет;ресторан;город москва, кремлёвская набережная, дом 1, строение 2;56;кремлёвская набережная;37.60947 55.746937;район Хамовники
4891;столовая при мз электропривод;нет;столовая;город москва, улица уткина, дом 48;20;улица уткина;37.744971 55.759532;район Соколиная Гора
4894;райский уголок;нет;кафе;город москва, боровский проезд, дом 17а;96;боровский проезд;37.38207 55.652258;район Солнцево
4895;вэрон;нет;столовая;город москва, улица академика павлова, дом 25;80;улица академика павлова;37.407573 55.748756;район Кунцево
4896;столовая;нет;столовая;город москва, проезд черепановых, дом 6, строение 1;50;проезд черепановых;37.512802 55.833364;район Коптево
4924;bodrum;нет;кафе;город москва, улица новая дорога, дом 11, строение 6;60;улица новая дорога;37.702499 55.774608;Басманный район
4940;кофе он;нет;кафе;город москва, 3-й кадашёвский переулок, дом 2;72;3-й кадашёвский переулок;37.624202 55.742407;район Якиманка
4947;столовая;нет;столовая;город москва, чермянская улица, дом 2, строение 2;200;чермянская улица;37.638117 55.885241;район Северное Медведково
5102;столовая центра «зубаревский»;нет;столовая;город москва, зубарев переулок, дом 15, корпус 1;47;зубарев переулок;37.642537 55.811508;Алексеевский район
5109;world class кафе;нет;бар;город москва, 12-й проезд марьиной рощи, владение 9, строение 2;9;12-й проезд марьиной рощи;37.618417 55.80445;район Марьина Роща
5118;хаят;нет;кафе;город москва, выползов переулок, дом 7, строение 2;68;выползов переулок;37.626861 55.779469;Мещанский район
5122;рус сервис;нет;столовая;город москва, анненский проезд, дом 1, строение 1;40;анненский проезд;37.607637 55.802133;район Марьина Роща
5130;столовая;нет;столовая;город москва, анненская улица, дом 25, строение 1;32;анненская улица;37.608949 55.806211;район Марьина Роща
5160;антик;нет;ресторан;город москва, чермянский проезд, дом 5, строение 26;70;чермянский проезд;37.634946 55.887599;район Северное Медведково
5167;столовая-доготовочная при школе № 1956;нет;столовая;город москва, старомарьинское шоссе, дом 5;250;старомарьинское шоссе;37.610485 55.80316;район Марьина Роща
5177;столовая завода стройпрогресс;нет;столовая;город москва, калибровская улица, дом 31, строение 1;45;калибровская улица;37.624965 55.808199;Останкинский район
5178;столовая вниси;нет;столовая;город москва, 1-й рижский переулок, дом 6, строение 1;112;1-й рижский переулок;37.652319 55.806611;Алексеевский район
5222;кафе;нет;кафе;город москва, хованская улица, владение 20;40;хованская улица;37.622585 55.828576;Останкинский район
5276;кафе пармежано;нет;кафе;город москва, отрадный проезд, дом 2б;60;отрадный проезд;37.607421 55.853132;район Отрадное
5280;столовая-доготовочная при школе 1137;нет;столовая;город москва, лосевская улица, дом 9;250;лосевская улица;37.714752 55.877824;Ярославский район
5289;гбоу школа № 1499;нет;столовая;город москва, ростокинская улица, дом 3;330;ростокинская улица;37.660727 55.835432;район Ростокино
5291;столовая;нет;столовая;город москва, 1-й сельскохозяйственный проезд, дом 2;46;1-й сельскохозяйственный проезд;37.647082 55.83248;район Ростокино
5299;кафе-бар курага;нет;кафе;город москва, юрловский проезд, дом 17, строение 1;229;юрловский проезд;37.618965 55.870698;район Отрадное
5301;буфет при гуп «объединенный комбинат школьно питания»;нет;столовая;город москва, 1-й ботанический проезд, дом 2;40;1-й ботанический проезд;37.635979 55.850707;район Свиблово
5373;ук стратегия управления;нет;кафе;город москва, 17-й проезд марьиной рощи, дом 4;94;17-й проезд марьиной рощи;37.61123 55.808553;район Марьина Роща
5445;столовая;нет;столовая;город москва, уржумская улица, дом 4, строение 14;124;уржумская улица;37.667168 55.851839;район Свиблово
5446;юлдес-тур;нет;столовая;город москва, 2-я ямская улица, дом 4;32;2-я ямская улица;37.608293 55.794629;район Марьина Роща
5452;кафе рача;нет;кафе;город москва, улица константинова, дом 11а;40;улица константинова;37.655248 55.816874;Алексеевский район
5468;океан;нет;кафе;город москва, черницынский проезд, дом 3, строение 11;64;черницынский проезд;37.792654 55.819075;район Гольяново
5491;при школе 1452;нет;столовая;город москва, 1-я гражданская улица, дом 96;160;1-я гражданская улица;37.709012 55.807223;район Богородское
5522;столовая;нет;столовая;город москва, 2-й иртышский проезд, дом 6, строение 1;64;2-й иртышский проезд;37.765758 55.812772;район Гольяново
5533;столовая;нет;кафе;город москва, 1-я пугачёвская улица, дом 25, строение 1;32;1-я пугачёвская улица;37.732126 55.795064;район Преображенское
5540;шумкина 26;нет;кафе;город москва, улица шумкина, дом 26а, строение 4;45;улица шумкина;37.673412 55.786723;район Сокольники
5544;кайф кормить;нет;столовая;город москва, улица богородский вал, дом 3, строение 28;30;улица богородский вал;37.701529 55.803509;район Богородское
5551;ереван;нет;ресторан;город москва, оренбургская улица, дом 32, строение 5;45;оренбургская улица;37.875901 55.711032;район Косино-Ухтомский
5563;столовая «ооо вито-1»;нет;столовая;город москва, улица медведева, дом 6;120;улица медведева;37.883671 55.717366;район Косино-Ухтомский
5583;столовая шк.364;нет;столовая;город москва, старослободская улица, дом 8;200;старослободская улица;37.669711 55.789836;район Сокольники
5592;буфет-раздаточная;нет;буфет;город москва, гаражная улица, дом 4;28;гаражная улица;37.742142 55.759091;район Соколиная Гора
5612;кафе -бар;нет;буфет;город москва, улица 9 мая, дом 8;6;улица 9 мая;37.86469 55.816161;район Восточный
